09-Jun-2016,,,,,,,,,,,,,,,
iShares MSCI EAFE ETF,,,,,,,,,,,,,,,
Inception Date,14-Aug-01,,,,,,,,,,,,,,
Fund Holdings as of,09-Jun-16,,,,,,,,,,,,,,
Total Net Assets,"$59,871,583,845",,,,,,,,,,,,,,
Number of Securities,960,,,,,,,,,,,,,,
Shares Outstanding,"1,016,400,000",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange,Country,Currency,Market Currency,FX Rate
LLOY,LLOYDS BANKING GROUP PLC,Equity,0.52,1.00,"310,024,084.00","310,009,385.76","310,009,385.76",Financials,"870,612.00",GB0008706128,London Stock Exchange,United Kingdom,USD,GBP,0.69
RB.,RECKITT BENCKISER GROUP PLC,Equity,0.51,99.30,"3,100,222.00","307,854,360.47","307,854,360.47",Consumer Staples,B24CGK7,GB00B24CGK77,London Stock Exchange,United Kingdom,USD,GBP,0.69
"8,306.00",MITSUBISHI UFJ FINANCIAL GROUP INC,Equity,0.51,4.94,"62,169,880.00","307,272,726.77","307,272,726.77",Financials,"6,335,171.00",JP3902900004,Tokyo Stock Exchange,Japan,USD,JPY,106.47
SAB,SABMILLER PLC,Equity,0.49,62.15,"4,721,129.00","293,425,671.58","293,425,671.58",Consumer Staples,"483,548.00",GB0004835483,London Stock Exchange,United Kingdom,USD,GBP,0.69
ULVR,UNILEVER PLC,Equity,0.49,46.47,"6,254,699.00","290,683,558.34","290,683,558.34",Consumer Staples,B10RZP7,GB00B10RZP78,London Stock Exchange,United Kingdom,USD,GBP,0.69
SHP,SHIRE PLC,Equity,0.45,62.14,"4,360,314.00","270,968,901.13","270,968,901.13",Health Care,B2QKY05,JE00B2QKY057,London Stock Exchange,United Kingdom,USD,GBP,0.69
BNP,BNP PARIBAS SA,Equity,0.45,51.96,"5,160,169.00","268,100,353.77","268,100,353.77",Financials,"7,309,681.00",FR0000131104,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
"9,984.00",SOFTBANK GROUP CORP,Equity,0.45,57.33,"4,667,400.00","267,597,892.27","267,597,892.27",Telecommunications,"6,770,620.00",JP3436100006,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"9,433.00",KDDI CORP,Equity,0.45,29.19,"9,147,600.00","267,043,073.31","267,043,073.31",Telecommunications,"6,248,990.00",JP3496400007,Tokyo Stock Exchange,Japan,USD,JPY,106.47
DTE,DEUTSCHE TELEKOM AG,Equity,0.44,16.93,"15,686,701.00","265,601,299.60","265,601,299.60",Telecommunications,"5,842,359.00",DE0005557508,Xetra,Germany,USD,EUR,0.88
UBSG,UBS GROUP REGISTERED AG,Equity,0.44,14.75,"17,810,370.00","262,783,519.21","262,783,519.21",Financials,BRJL176,CH0244767585,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
NG.,NATIONAL GRID PLC,Equity,0.43,14.24,"18,293,964.00","260,433,769.74","260,433,769.74",Utilities,B08SNH3,GB00B08SNH34,London Stock Exchange,United Kingdom,USD,GBP,0.69
ANZ,AUSTRALIA AND NEW ZEALAND BANKING,Equity,0.43,18.22,"14,148,097.00","257,804,855.02","257,804,855.02",Financials,"6,065,586.00",AU000000ANZ3,Asx - All Markets,Australia,USD,AUD,1.34
BT.A,BT GROUP PLC,Equity,0.42,6.15,"41,281,214.00","254,000,925.75","254,000,925.75",Telecommunications,"3,091,357.00",GB0030913577,London Stock Exchange,United Kingdom,USD,GBP,0.69
IMB,IMPERIAL BRANDS PLC,Equity,0.42,53.95,"4,670,444.00","251,959,555.32","251,959,555.32",Consumer Staples,"454,492.00",GB0004544929,London Stock Exchange,United Kingdom,USD,GBP,0.69
NAB,NATIONAL AUSTRALIA BANK LTD,Equity,0.42,19.64,"12,799,729.00","251,417,876.90","251,417,876.90",Financials,"6,624,608.00",AU000000NAB4,Asx - All Markets,Australia,USD,AUD,1.34
TEVA,TEVA PHARMACEUTICAL INDUSTRIES LTD,Equity,0.40,54.04,"4,459,190.00","240,958,872.42","240,958,872.42",Health Care,"6,882,172.00",IL0006290147,Tel Aviv Stock Exchange,Israel,USD,ILS,3.84
PRU,PRUDENTIAL PLC,Equity,0.39,18.66,"12,548,624.00","234,129,409.43","234,129,409.43",Financials,"709,954.00",GB0007099541,London Stock Exchange,United Kingdom,USD,GBP,0.69
OR,LOREAL SA,Equity,0.39,188.97,"1,229,317.00","232,299,076.27","232,299,076.27",Consumer Staples,"4,057,808.00",FR0000120321,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
INGA,ING GROEP NV,Equity,0.38,12.16,"18,786,771.00","228,408,138.72","228,408,138.72",Financials,"7,154,182.00",NL0000303600,Nyse Euronext - Euronext Amsterdam,Netherlands,USD,EUR,0.88
CS,AXA SA,Equity,0.38,24.02,"9,500,592.00","228,163,583.43","228,163,583.43",Financials,"7,088,429.00",FR0000120628,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
BHP,BHP BILLITON LTD,Equity,0.38,14.58,"15,604,069.00","227,584,371.11","227,584,371.11",Materials,"6,144,690.00",AU000000BHP4,Asx - All Markets,Australia,USD,AUD,1.34
"2,914.00",JAPAN TOBACCO INC,Equity,0.37,42.08,"5,333,600.00","224,435,523.41","224,435,523.41",Consumer Staples,"6,474,535.00",JP3726800000,Tokyo Stock Exchange,Japan,USD,JPY,106.47
MC,LVMH MOET HENNESSY LOUIS VUITTON S,Equity,0.37,165.07,"1,357,263.00","224,042,266.70","224,042,266.70",Consumer Discretionary,"4,061,412.00",FR0000121014,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
TEF,TELEFONICA SA,Equity,0.37,10.21,"21,828,949.00","222,921,666.10","222,921,666.10",Telecommunications,"5,732,524.00",ES0178430E18,Bolsa De Madrid,Spain,USD,EUR,0.88
"7,267.00",HONDA MOTOR LTD,Equity,0.36,27.17,"7,895,400.00","214,543,673.51","214,543,673.51",Consumer Discretionary,"6,435,145.00",JP3854600008,Tokyo Stock Exchange,Japan,USD,JPY,106.47
BARC,BARCLAYS PLC,Equity,0.35,2.55,"81,801,568.00","208,370,471.53","208,370,471.53",Financials,"3,134,865.00",GB0031348658,London Stock Exchange,United Kingdom,USD,GBP,0.69
BN,DANONE SA,Equity,0.34,71.11,"2,877,196.00","204,605,505.43","204,605,505.43",Consumer Staples,B1Y9TB3,FR0000120644,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
ABBN,ABB LTD,Equity,0.34,21.12,"9,632,501.00","203,446,570.97","203,446,570.97",Industrials,"7,108,899.00",CH0012221716,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
"8,316.00",SUMITOMO MITSUI FINANCIAL GROUP IN,Equity,0.34,31.17,"6,500,500.00","202,650,255.95","202,650,255.95",Financials,"6,563,024.00",JP3890350006,Tokyo Stock Exchange,Japan,USD,JPY,106.47
BBVA,BANCO BILBAO VIZCAYA ARGENTARIA OR,Equity,0.33,6.31,"31,775,592.00","200,522,053.12","200,522,053.12",Financials,"5,501,906.00",ES0113211835,Bolsa De Madrid,Spain,USD,EUR,0.88
ENI,ENI,Equity,0.33,15.92,"12,385,717.00","197,225,859.66","197,225,859.66",Energy,"7,145,056.00",IT0003132476,Borsa Italiana S.P.A.,Italy,USD,EUR,0.88
CSL,CSL LTD,Equity,0.33,86.52,"2,258,568.00","195,412,291.48","195,412,291.48",Health Care,"6,185,495.00",AU000000CSL8,Asx - All Markets,Australia,USD,AUD,1.34
SYNN,SYNGENTA AG,Equity,0.31,406.24,"452,298.00","183,742,398.67","183,742,398.67",Materials,"4,356,646.00",CH0011037469,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
IBE,IBERDROLA SA,Equity,0.31,6.88,"26,534,288.00","182,652,457.06","182,652,457.06",Utilities,B288C92,ES0144580Y14,Bolsa De Madrid,Spain,USD,EUR,0.88
"9,437.00",NTT DOCOMO INC,Equity,0.30,26.29,"6,945,417.00","182,597,306.00","182,597,306.00",Telecommunications,"6,129,277.00",JP3165650007,Tokyo Stock Exchange,Japan,USD,JPY,106.47
DG,VINCI SA,Equity,0.30,74.51,"2,421,465.00","180,424,481.92","180,424,481.92",Industrials,B1XH026,FR0000125486,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
AI,AIR LIQUIDE SA,Equity,0.30,106.58,"1,681,393.00","179,210,063.14","179,210,063.14",Materials,B1YXBJ7,FR0000120073,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
ITX,INDUSTRIA DE DISENO TEXTIL INDITEX,Equity,0.30,33.47,"5,339,157.00","178,715,014.10","178,715,014.10",Consumer Discretionary,BP9DL90,ES0148396007,Bolsa De Madrid,Spain,USD,EUR,0.88
ASML,ASML HOLDING NV,Equity,0.30,99.96,"1,776,200.00","177,546,932.46","177,546,932.46",Information Technology,B929F46,NL0010273215,Nyse Euronext - Euronext Amsterdam,Netherlands,USD,EUR,0.88
"8,411.00",MIZUHO FINANCIAL GROUP INC,Equity,0.30,1.55,"114,168,460.00","177,046,097.27","177,046,097.27",Financials,"6,591,014.00",JP3885780001,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"6,758.00",SONY CORP,Equity,0.30,28.87,"6,125,800.00","176,872,297.94","176,872,297.94",Consumer Discretionary,"6,821,506.00",JP3435000009,Tokyo Stock Exchange,Japan,USD,JPY,106.47
ENEL,ENEL,Equity,0.29,4.67,"37,765,414.00","176,302,967.30","176,302,967.30",Utilities,"7,144,569.00",IT0003128367,Borsa Italiana S.P.A.,Italy,USD,EUR,0.88
AIR,AIRBUS GROUP,Equity,0.29,60.48,"2,866,464.00","173,358,497.09","173,358,497.09",Industrials,"4,012,250.00",NL0000235190,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
SU,SCHNEIDER ELECTRIC SE,Equity,0.29,63.55,"2,723,196.00","173,051,972.39","173,051,972.39",Industrials,"4,834,108.00",FR0000121972,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
ZURN,ZURICH INSURANCE GROUP AG,Equity,0.29,235.89,"727,325.00","171,565,594.38","171,565,594.38",Financials,"5,983,816.00",CH0011075394,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
RIO,RIO TINTO PLC,Equity,0.29,28.47,"6,021,251.00","171,411,513.31","171,411,513.31",Materials,"718,875.00",GB0007188757,London Stock Exchange,United Kingdom,USD,GBP,0.69
ORA,ORANGE SA,Equity,0.28,17.23,"9,689,618.00","166,969,058.01","166,969,058.01",Telecommunications,"5,176,177.00",FR0000133308,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
WES,WESFARMERS LTD,Equity,0.28,30.55,"5,454,422.00","166,609,751.71","166,609,751.71",Consumer Staples,"6,948,836.00",AU000000WES1,Asx - All Markets,Australia,USD,AUD,1.34
"3,382.00",SEVEN & I HOLDINGS LTD,Equity,0.27,44.01,"3,632,880.00","159,865,146.29","159,865,146.29",Consumer Staples,B0FS5D6,JP3422950000,Tokyo Stock Exchange,Japan,USD,JPY,106.47
NOKIA,NOKIA,Equity,0.27,5.69,"28,005,244.00","159,379,628.94","159,379,628.94",Information Technology,"5,902,941.00",FI0009000681,Nasdaq Omx Helsinki Ltd.,Finland,USD,EUR,0.88
CFR,COMPAGNIE FINANCIERE RICHEMONT SA,Equity,0.27,62.89,"2,532,673.00","159,268,616.78","159,268,616.78",Consumer Discretionary,BCRWZ18,CH0210483332,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
1.00,CK HUTCHISON HOLDINGS LTD,Equity,0.26,11.92,"13,157,184.00","156,825,895.41","156,825,895.41",Industrials,BW9P816,KYG217651051,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.76
"7,751.00",CANON INC,Equity,0.26,29.26,"5,251,400.00","153,647,780.96","153,647,780.96",Information Technology,"6,172,323.00",JP3242800005,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"4,502.00",TAKEDA PHARMACEUTICAL LTD,Equity,0.25,42.92,"3,557,400.00","152,667,642.89","152,667,642.89",Health Care,"6,870,445.00",JP3463000004,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"4,503.00",ASTELLAS PHARMA INC,Equity,0.25,14.67,"10,333,450.00","151,607,090.59","151,607,090.59",Health Care,"6,985,383.00",JP3942400007,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"9,432.00",NIPPON TELEGRAPH AND TELEPHONE COR,Equity,0.25,44.63,"3,388,000.00","151,221,302.78","151,221,302.78",Telecommunications,"6,641,373.00",JP3735400008,Tokyo Stock Exchange,Japan,USD,JPY,106.47
ISP,INTESA SANPAOLO,Equity,0.25,2.49,"60,795,587.00","151,203,476.36","151,203,476.36",Financials,"4,076,836.00",IT0000072618,Borsa Italiana S.P.A.,Italy,USD,EUR,0.88
CPG,COMPASS GROUP PLC,Equity,0.25,18.80,"8,025,978.00","150,850,110.51","150,850,110.51",Consumer Discretionary,BLNN3L4,GB00BLNN3L44,London Stock Exchange,United Kingdom,USD,GBP,0.69
"9,020.00",EAST JAPAN RAILWAY,Equity,0.25,92.52,"1,627,000.00","150,527,873.01","150,527,873.01",Industrials,"6,298,542.00",JP3783600004,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"6,954.00",FANUC CORP,Equity,0.25,157.89,"949,100.00","149,855,548.77","149,855,548.77",Industrials,"6,356,934.00",JP3802400006,Tokyo Stock Exchange,Japan,USD,JPY,106.47
FRE,FRESENIUS SE AND CO KGAA,Equity,0.25,74.40,"2,001,566.00","148,910,925.03","148,910,925.03",Health Care,"4,352,097.00",DE0005785604,Xetra,Germany,USD,EUR,0.88
MUV2,MUNICH REINSURANCE COMPANY,Equity,0.24,180.64,"805,241.00","145,460,123.28","145,460,123.28",Financials,"5,294,121.00",DE0008430026,Xetra,Germany,USD,EUR,0.88
WPP,WPP PLC,Equity,0.24,22.77,"6,343,850.00","144,476,146.73","144,476,146.73",Consumer Discretionary,B8KF9B4,JE00B8KF9B49,London Stock Exchange,United Kingdom,USD,GBP,0.69
SREN,SWISS RE AG,Equity,0.24,89.07,"1,621,336.00","144,406,410.29","144,406,410.29",Financials,B545MG5,CH0126881561,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
GLE,SOCIETE GENERALE,Equity,0.24,38.74,"3,696,141.00","143,184,335.87","143,184,335.87",Financials,"5,966,516.00",FR0000130809,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
HM B,HENNES & MAURITZ,Equity,0.24,30.75,"4,614,660.00","141,883,525.54","141,883,525.54",Consumer Discretionary,"5,687,431.00",SE0000106270,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
DPW,DEUTSCHE POST AG,Equity,0.24,30.10,"4,702,612.00","141,536,941.09","141,536,941.09",Industrials,"4,617,859.00",DE0005552004,Xetra,Germany,USD,EUR,0.88
USD,USD CASH,Cash,0.24,100.00,"141,481,274.00","141,481,274.04","141,481,274.04",Cash and/or Derivatives,--,--,--,United States,USD,USD,1.00
NDA,NORDEA BANK,Equity,0.24,9.60,"14,662,824.00","140,703,957.31","140,703,957.31",Financials,"5,380,031.00",SE0000427361,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
"6,861.00",KEYENCE CORP,Equity,0.23,638.71,"220,123.00","140,594,223.45","140,594,223.45",Information Technology,"6,490,995.00",JP3236200006,Tokyo Stock Exchange,Japan,USD,JPY,106.47
388.00,HONG KONG EXCHANGES AND CLEARING L,Equity,0.23,24.68,"5,589,400.00","137,926,292.93","137,926,292.93",Financials,"6,267,359.00",HK0388045442,Hong Kong Exchanges And Clearing Ltd,Hong Kong,USD,HKD,7.76
"4,452.00",KAO CORP,Equity,0.23,56.18,"2,453,100.00","137,810,464.47","137,810,464.47",Consumer Staples,"6,483,809.00",JP3205800000,Tokyo Stock Exchange,Japan,USD,JPY,106.47
JPY,JPY CASH,Cash,0.23,0.94,"14,402,701,206.00","135,281,089.62","135,281,089.62",Cash and/or Derivatives,--,--,--,Japan,USD,JPY,106.47
EI,ESSILOR INTERNATIONAL SA,Equity,0.22,134.09,"998,760.00","133,927,643.54","133,927,643.54",Health Care,"7,212,477.00",FR0000121667,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
LIN,LINDE AG,Equity,0.22,148.08,"900,172.00","133,298,291.17","133,298,291.17",Materials,"5,740,817.00",DE0006483001,Xetra,Germany,USD,EUR,0.88
UL,UNIBAIL-RODAMCO SE REIT,Equity,0.22,273.46,"480,143.00","131,297,118.75","131,297,118.75",Financials,B1YY4B3,FR0000124711,Nyse Euronext - Euronext Amsterdam,France,USD,EUR,0.88
BMW,BAYERISCHE MOTORENWERKE AG BMW,Equity,0.22,81.36,"1,609,373.00","130,942,436.90","130,942,436.90",Consumer Discretionary,"5,756,029.00",DE0005190003,Xetra,Germany,USD,EUR,0.88
VOW3,VOLKSWAGEN AG (PFD NON-VTG),Equity,0.22,145.25,"897,940.00","130,425,369.70","130,425,369.70",Consumer Discretionary,"5,497,168.00",DE0007664039,Xetra,Germany,USD,EUR,0.88
"8,058.00",MITSUBISHI CORP,Equity,0.22,18.26,"7,074,300.00","129,173,335.84","129,173,335.84",Industrials,"6,596,785.00",JP3898400001,Tokyo Stock Exchange,Japan,USD,JPY,106.47
NXPI,NXP SEMICONDUCTORS NV,Equity,0.21,90.29,"1,421,444.00","128,342,178.76","128,342,178.76",Information Technology,B505PN7,NL0009538784,NASDAQ,Netherlands,USD,USD,1.00
BLT,BHP BILLITON PLC,Equity,0.21,12.44,"10,273,810.00","127,855,376.10","127,855,376.10",Materials,"56,650.00",GB0000566504,London Stock Exchange,United Kingdom,USD,GBP,0.69
"9,022.00",CENTRAL JAPAN RAILWAY,Equity,0.21,181.28,"695,600.00","126,098,530.03","126,098,530.03",Industrials,"6,183,552.00",JP3566800003,Tokyo Stock Exchange,Japan,USD,JPY,106.47
ADS,ADIDAS AG,Equity,0.21,135.23,"919,586.00","124,352,368.64","124,352,368.64",Consumer Discretionary,"4,031,976.00",DE000A1EWWW0,Xetra,Germany,USD,EUR,0.88
AV.,AVIVA PLC,Equity,0.21,6.29,"19,750,027.00","124,249,813.56","124,249,813.56",Financials,"216,238.00",GB0002162385,London Stock Exchange,United Kingdom,USD,GBP,0.69
STAN,STANDARD CHARTERED PLC,Equity,0.21,7.75,"15,957,919.00","123,621,252.61","123,621,252.61",Financials,"408,284.00",GB0004082847,London Stock Exchange,United Kingdom,USD,GBP,0.69
"4,063.00",SHIN ETSU CHEMICAL LTD,Equity,0.20,59.50,"2,032,800.00","120,957,948.62","120,957,948.62",Materials,"6,804,585.00",JP3371200001,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"7,201.00",NISSAN MOTOR LTD,Equity,0.20,9.87,"12,196,800.00","120,404,234.26","120,404,234.26",Consumer Discretionary,"6,642,860.00",JP3672400003,Tokyo Stock Exchange,Japan,USD,JPY,106.47
PHIA,KONINKLIJKE PHILIPS NV,Equity,0.20,26.21,"4,544,061.00","119,112,879.13","119,112,879.13",Industrials,"5,986,622.00",NL0000009538,Nyse Euronext - Euronext Amsterdam,Netherlands,USD,EUR,0.88
GLEN,GLENCORE PLC,Equity,0.20,2.00,"59,554,911.00","118,871,516.00","118,871,516.00",Materials,B4T3BW6,JE00B4T3BW64,London Stock Exchange,United Kingdom,USD,GBP,0.69
CRG,CRH PLC,Equity,0.20,30.38,"3,894,367.00","118,291,362.58","118,291,362.58",Materials,"4,182,249.00",IE0001827041,Irish Stock Exchange - All Market,Ireland,USD,EUR,0.88
CSGN,CREDIT SUISSE GROUP AG AG,Equity,0.20,13.01,"9,030,693.00","117,512,776.35","117,512,776.35",Financials,"7,171,589.00",CH0012138530,Six Swiss Exchange Ag,Switzerland,USD,CHF,0.96
ENGI,ENGIE SA,Equity,0.19,16.21,"7,111,239.00","115,250,360.67","115,250,360.67",Utilities,B0C2CQ3,FR0010208488,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
"6,503.00",MITSUBISHI ELECTRIC CORP,Equity,0.19,12.22,"9,424,000.00","115,205,335.09","115,205,335.09",Industrials,"6,597,045.00",JP3902400005,Tokyo Stock Exchange,Japan,USD,JPY,106.47
"8,802.00",MITSUBISHI ESTATE CO LTD,Equity,0.19,19.14,"5,997,000.00","114,769,055.56","114,769,055.56",Financials,"6,596,729.00",JP3899600005,Tokyo Stock Exchange,Japan,USD,JPY,106.47
RI,PERNOD RICARD SA,Equity,0.19,109.61,"1,034,689.00","113,410,387.47","113,410,387.47",Consumer Staples,"4,682,329.00",FR0000120693,Nyse Euronext - Euronext Paris,France,USD,EUR,0.88
Z74,SINGAPORE TELECOMMUNICATIONS LTD,Equity,0.19,2.92,"38,792,685.00","113,374,352.23","113,374,352.23",Telecommunications,B02PY22,SG1T75931496,Singapore Exchange,Singapore,USD,SGD,1.35
CON,CONTINENTAL AG,Equity,0.19,210.88,"534,827.00","112,784,750.97","112,784,750.97",Consumer Discretionary,"4,598,589.00",DE0005439004,Xetra,Germany,USD,EUR,0.88
ERIC B,ERICSSON B,Equity,0.19,7.64,"14,723,669.00","112,453,574.08","112,453,574.08",Information Technology,"5,959,378.00",SE0000108656,Nasdaq Omx Nordic,Sweden,USD,SEK,8.17
"8,766.00",TOKIO MARINE HOLDINGS INC,Equity,0.19,33.73,"3,316,400.00","111,860,164.37","111,860,164.37",Financials,"6,513,126.00",JP3910660004,Tokyo Stock Exchange,Japan,USD,JPY,106.47
